textDisplay,normalized,clean_comment,sentiment
BGN dan semua yg berkaitan dgn MBG adalah proyek korupsi. Skrg ditambah lg dgn koperasi merah putih. Si go blok wow0 gak berhenti² merampok uang rakyat.,bgn dan semua yang berkaitan dengan mbg adalah proyek korupsi. skrg ditambah lg dengan koperasi merah putih. si go blok wow0 gak berhenti² merampok uang rakyat.,bgn dan semua yang berkaitan dengan mbg adalah proyek korupsi skrg ditambah lg dengan koperasi merah putih si go blok wow gak berhenti merampok uang rakyat,negative
Bancakan 😅,bancakan 😅,bancakan,negative
"duit pajak rakyat di beli sesuatu yang gak jelas,,,, pemborosan anggaran.......padalah kita lagi penghematan anggaran,....tak masuk akal sehat.....kalau kayak begini ini .......wajib ganti presiden!!!!!!!!!!!!!","duit pajak rakyat di beli sesuatu yang gak jelas,,,, pemborosan anggaran.......padalah kita lagi penghematan anggaran,....tak masuk akal sehat.....kalau kayak begini ini .......wajib ganti presiden!!!!!!!!!!!!!",duit pajak rakyat di beli sesuatu yang gak jelas pemborosan anggaran padalah kita lagi penghematan anggaran tak masuk akal sehat kalau kayak begini ini wajib ganti presiden,negative
Cair cair,cair cair,cair cair,neutral
palkon palkon,palkon palkon,palkon palkon,neutral
Spt nya tinggal menghitung hari aja nih rezim 😂😂😂,spt nya tinggal menghitung hari aja nih rezim 😂😂😂,spt nya tinggal menghitung hari aja nih rezim,negative
G bnyk omon omon lngsung jdi 🎉🎉🎉hebat,g bnyk omon omon lngsung jdi 🎉🎉🎉hebat,g bnyk omon omon lngsung jdi hebat,positive
Motor import lg pak prabowo! Apa ini ulah aggota mu!,motor import lg pak prabowo! apa ini ulah aggota mu!,motor import lg pak prabowo apa ini ulah aggota mu,negative
ugal-ugalan ga sih?,ugal-ugalan tidak sih?,ugal ugalan tidak sih,negative
Coba jaksa bisa enggak ini di jadikan kasus seperti nadiem makarim chromebook ..,coba jaksa bisa enggak ini di jadikan kasus seperti nadiem makarim chromebook ..,coba jaksa bisa enggak ini di jadikan kasus seperti nadiem makarim chromebook,neutral
Harus segera di nepal kan,harus segera di nepal kan,harus segera di nepal kan,negative
Sudah saatnya Prabowo mengundurkan diri seperti mantan mertuamya,sudah saatnya prabowo mengundurkan diri seperti mantan mertuamya,sudah saatnya prabowo mengundurkan diri seperti mantan mertuamya,neutral
Menurut saya harusnya semua fasilitas bahkan gaji pegawai termasuk kepala admin ahli gizi harus disediakan oleh pemilik sppg.,menurut saya harusnya semua fasilitas bahkan gaji pegawai termasuk kepala admin ahli gizi harus disediakan oleh pemilik sppg.,menurut saya harusnya semua fasilitas bahkan gaji pegawai termasuk kepala admin ahli gizi harus disediakan oleh pemilik sppg,neutral
"Ayo Mark Up Trus proyek trus, mumpung korupsi hukuman nya bisa di beli 😂","ayo mark up trus proyek trus, mumpung korupsi hukuman nya bisa di beli 😂",ayo mark up trus proyek trus mumpung korupsi hukuman nya bisa di beli,negative
Akal-akalan biar keruk duit negara masuk kantong pribadi sebanyak mungkin,akal-akalan biar keruk duit negara masuk kantong pribadi sebanyak mungkin,akal akalan biar keruk duit negara masuk kantong pribadi sebanyak mungkin,negative
Bubarkan MBG ❤,bubarkan mbg ❤,bubarkan mbg,neutral
lagi dan lagi <br><br>aseli ini minta tobat nasional lewat revolusi <br><br>jangan salahkan rakyat klo hukum itu harus turun ke jalan karna wakil rakyat tidak ada yg mewakili dan oposisi adalah sapi ompong,lagi dan lagi <br><br>aseli ini minta tobat nasional lewat revolusi <br><br>jangan salahkan rakyat klo hukum itu harus turun ke jalan karna wakil rakyat tidak ada yang mewakili dan oposisi adalah sapi ompong,lagi dan lagi aseli ini minta tobat nasional lewat revolusi jangan salahkan rakyat klo hukum itu harus turun ke jalan karna wakil rakyat tidak ada yang mewakili dan oposisi adalah sapi ompong,negative
Kpk mesti periksa,kpk mesti periksa,kpk mesti periksa,neutral
Pasti ada laa korupsinya,pasti ada laa korupsinya,pasti ada laa korupsinya,negative
"Daya rusak MBG emang luar biasah <br>MBG=Jam pelajaran dikelas diobrak Abrik, guru /tenaga pendidik disuruh buat &quot;jadi relawan&quot; (ngitungin ompreng satu² plus pendistribusian), belum lagi kalo telat datang (guru harus mengatur strategi agar MBG tetap bisa tersalurkan) 🥲","daya rusak mbg emang luar biasah <br>mbg=jam pelajaran dikelas diobrak abrik, guru /tenaga pendidik disuruh buat &quot;jadi relawan&quot; (ngitungin ompreng satu² plus pendistribusian), belum lagi kalo telat datang (guru harus mengatur strategi agar mbg tetap bisa tersalurkan) 🥲",daya rusak mbg emang luar biasah mbg jam pelajaran dikelas diobrak abrik guru tenaga pendidik disuruh buat quot jadi relawan quot ngitungin ompreng satu plus pendistribusian belum lagi kalo telat datang guru harus mengatur strategi agar mbg tetap bisa tersalurkan,negative
APBN hanya fokus pada anggaran MBG seolah kebutuhan lainnya tidak perlu,apbn hanya fokus pada anggaran mbg seolah kebutuhan lainnya tidak perlu,apbn hanya fokus pada anggaran mbg seolah kebutuhan lainnya tidak perlu,negative
"Luar biasa ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥,penghargaan buatmu","luar biasa ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥,penghargaan buatmu",luar biasa penghargaan buatmu,positive
Dukung 1000% mantap ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥,dukung 1000% mantap ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥,dukung mantap,positive
1% informasi 99% ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥,1% informasi 99% ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥,informasi,neutral
Ngeriii.  ...... Jiwa bedebahku meronta ronta dengerini performance ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥,ngeriii.  ...... jiwa bedebahku meronta ronta dengerini performance ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥,ngeriii jiwa bedebahku meronta ronta dengerini performance,negative
"✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥 Kontennya beneran berkualitas, kerasa effort dan niatnya, semoga makin banyak yang nonton.","✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥 kontennya beneran berkualitas, kerasa effort dan niatnya, semoga makin banyak yang nonton.",kontennya beneran berkualitas kerasa effort dan niatnya semoga makin banyak yang nonton,positive
"Sumpah estetik banget!! Transisi halus, warna-warnanya bikin adem,✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥 dan musik latarnya cocok banget!💯","sumpah estetik banget!! transisi halus, warna-warnanya bikin adem,✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥 dan musik latarnya cocok banget!💯",sumpah estetik banget transisi halus warna warnanya bikin adem dan musik latarnya cocok banget,positive
"baru join sore ini, udah WD 30jt 🤯 Nggak nyangka! ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥","baru join sore ini, udah wd 30jt 🤯 tidak nyangka! ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥",baru join sore ini udah wd jt tidak nyangka,positive
"Mantap bro/sis, semoga ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰✨ ini makin sukses 💯","mantap bro/sis, semoga ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰✨ ini makin sukses 💯",mantap bro sis semoga ini makin sukses,positive
lagi ngantuk ngantuknya liat ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰✨ jadi langsung seger lagi,lagi ngantuk ngantuknya liat ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰✨ jadi langsung seger lagi,lagi ngantuk ngantuknya liat jadi langsung seger lagi,negative
"Ceritanya bikin merinding! ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥 bikin suasana makin dramatis, keren!","ceritanya bikin merinding! ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰💥 bikin suasana makin dramatis, keren!",ceritanya bikin merinding bikin suasana makin dramatis keren,positive
caritanya seru bangat ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰✨makin josss gandos,caritanya seru bangat ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰✨makin josss gandos,caritanya seru bangat makin josss gandos,positive
Review-nya jujur banget! 💕𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰🥰 bikin aku yakin buat coba produk ini!,review-nya jujur banget! 💕𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰🥰 bikin aku yakin buat coba produk ini!,review nya jujur banget bikin aku yakin buat coba produk ini,positive
"😎 Modal 20k doang, hasilnya 35jt!✨ 𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰⚡asik banget!","😎 modal 20k doang, hasilnya 35jt!✨ 𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰⚡asik banget!",modal k doang hasilnya jt asik banget,positive
"Tutorialnya jelas banget! ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰I💥 bikin aku langsung pengen coba, thanks tipsnya!","tutorialnya jelas banget! ✨𝑮𝑨 𝑹𝑼 𝑫𝑨𝑯𝑶 𝑲𝑰i💥 bikin aku langsung pengen coba, thanks tipsnya!",tutorialnya jelas banget i bikin aku langsung pengen coba thanks tipsnya,positive
BOLEH TIDAK RAKYAT BUAT LAPORAN KE PENGADILAN....!?,boleh tidak rakyat buat laporan ke pengadilan....!?,boleh tidak rakyat buat laporan ke pengadilan,neutral
"Program motor listrik😂😂😂 MBG nanti aja,yg penting Mark up aja dulu😂😂😂 perampok ini kepala MBG!!!!","program motor listrik😂😂😂 mbg nanti aja,yang penting mark up aja dulu😂😂😂 perampok ini kepala mbg!!!!",program motor listrik mbg nanti aja yang penting mark up aja dulu perampok ini kepala mbg,negative
Nguaworrrr,nguaworrrr,nguaworrrr,negative
Gila c ini...bener2 Bancakan terang2an...,gila c ini...bener2 bancakan terang2an...,gila c ini bener bancakan terangan,positive
"Silahkan sesukamu... ingat jgn bergantung pada kekuasaan, ketika kekuasaan berganti... hidup anda tdk akan tenang...","silahkan sesukamu... ingat jgn bergantung pada kekuasaan, ketika kekuasaan berganti... hidup anda tidak akan tenang...",silahkan sesukamu ingat jgn bergantung pada kekuasaan ketika kekuasaan berganti hidup anda tidak akan tenang,negative
"Horeeeeee.....makan sampai kembung, hati2 hutang LN makin menggelembung, bikin rakyat bingung.","horeeeeee.....makan sampai kembung, hati2 hutang ln makin menggelembung, bikin rakyat bingung.",horeeeeee makan sampai kembung hati hutang ln makin menggelembung bikin rakyat bingung,negative
"Semakin ke sini semakin nggk percaya dgn pemerintah, arah kebijakan tdk jelas dan tdk pro rakyat, rasa2nya pengen cepat2 2029 supaya bisa ganti pemerintahan 😢","semakin ke sini semakin nggk percaya dengan pemerintah, arah kebijakan tidak jelas dan tidak pro rakyat, rasa2nya pengen cepat2 2029 supaya bisa ganti pemerintahan 😢",semakin ke sini semakin nggk percaya dengan pemerintah arah kebijakan tidak jelas dan tidak pro rakyat rasanya pengen cepat supaya bisa ganti pemerintahan,negative
"fakta bhw proyek mbg,mmg benar2 beri gizi...","fakta bhw proyek mbg,mmg benar2 beri gizi...",fakta bhw proyek mbg mmg benar beri gizi,neutral
orang-orang udah pada ngincar akinya.  hahaha....  😂😂😂,orang-orang udah pada ngincar akinya.  hahaha....  😂😂😂,orang orang udah pada ngincar akinya hahaha,negative
sehat selalu pak Nadiem makarim,sehat selalu pak nadiem makarim,sehat selalu pak nadiem makarim,neutral
Showroom nya aja masih belum selesai. Ngaku2 masuk anggaran 2025?? MASIH BELUM MELEK NIH PRESIDEN??,showroom nya aja masih belum selesai. ngaku2 masuk anggaran 2025?? masih belum melek nih presiden??,showroom nya aja masih belum selesai ngaku masuk anggaran masih belum melek nih presiden,negative
Negara kita semakin membingungkan......,negara kita semakin membingungkan......,negara kita semakin membingungkan,negative
Itu gudang yg d pakai menyimpan motor kira2 milik siapa y 😅,itu gudang yang d pakai menyimpan motor kira2 milik siapa y 😅,itu gudang yang d pakai menyimpan motor kira milik siapa y,neutral
Kita hidup di tahun bersejarah. Antara Indonesia kiamat atau revolusi jilid 2,kita hidup di tahun bersejarah. antara indonesia kiamat atau revolusi jilid 2,kita hidup di tahun bersejarah antara indonesia kiamat atau revolusi jilid,neutral
"Nyampe ke piring siswa mgk cuman 7-10 ribu, tapi biaya2 yg dikeluarkan utk menghasilkan yg 7-10 ribu per piring itu  tampak luar biasa  besarnya. Ada yg punya hitungannya ngga?","nyampe ke piring siswa mgk cuman 7-10 ribu, tapi biaya2 yang dikeluarkan utk menghasilkan yang 7-10 ribu per piring itu  tampak luar biasa  besarnya. ada yang punya hitungannya ngga?",nyampe ke piring siswa mgk cuman ribu tapi biaya yang dikeluarkan utk menghasilkan yang ribu per piring itu tampak luar biasa besarnya ada yang punya hitungannya ngga,positive
Badan Garong Nasional...,badan garong nasional...,badan garong nasional,neutral
Program kesayangan rezim prabowo,program kesayangan rezim prabowo,program kesayangan rezim prabowo,neutral
"Gak usah diributkan jelas ini pasti ada yg bagi bagi, tinggal kejaksaan atau KPK mau periksa atau tidak terhadap aliran uangnya. Kita bisa juga melakukan itu semuanya.😅😅","gak usah diributkan jelas ini pasti ada yang bagi bagi, tinggal kejaksaan atau kpk mau periksa atau tidak terhadap aliran uangnya. kita bisa juga melakukan itu semuanya.😅😅",gak usah diributkan jelas ini pasti ada yang bagi bagi tinggal kejaksaan atau kpk mau periksa atau tidak terhadap aliran uangnya kita bisa juga melakukan itu semuanya,negative
Ckck ketololan yang dipertontonkan dan tdk bisa dihentikan. Korupsi berjamaah,ckck ketololan yang dipertontonkan dan tidak bisa dihentikan. korupsi berjamaah,ckck ketololan yang dipertontonkan dan tidak bisa dihentikan korupsi berjamaah,negative
Dijogetin aja,dijogetin aja,dijogetin aja,negative
"Kok nggak mobil sekalian,biar negara cepet hancur.....","kok tidak mobil sekalian,biar negara cepet hancur.....",kok tidak mobil sekalian biar negara cepet hancur,negative
"UANG PAJAK , APBN  D HAMBURKAN KORUPSI SEBITU TRANSPARAN..!!!   WOWWWW","uang pajak , apbn  d hamburkan korupsi sebitu transparan..!!!   wowwww",uang pajak apbn d hamburkan korupsi sebitu transparan wo,negative
BGN: Barisan Garong Nasional,bgn: barisan garong nasional,bgn barisan garong nasional,neutral
ngurus negara gini amat ya semau2nya aja,ngurus negara gini amat ya semau2nya aja,ngurus negara gini amat ya semaunya aja,negative
Kebijakan yg ngaco,kebijakan yang ngaco,kebijakan yang ngaco,negative
"INVESTOR DAPUR SPPG 3T JUGA SAMPAI SEKARANG JUGA GA DIBAYAR BGN SESUAI JUKNIS, TOLONG DI UP TEMPO","investor dapur sppg 3t juga sampai sekarang juga tidak dibayar bgn sesuai juknis, tolong di up tempo",investor dapur sppg t juga sampai sekarang juga tidak dibayar bgn sesuai juknis tolong di up tempo,negative
"Udah lah, pecat aja kepalanya.","udah lah, pecat aja kepalanya.",udah lah pecat aja kepalanya,negative
"NGACO BALO!! Sejuta Persen KORUP KKN: (1) TIDAK ADA TENDER!! (2) Produk motor listrik ber TKDN sdh ada di Indonesia!! (3) Proses Sangat2 Sengaja Ditutup2i (4) Kriteria Spek Sangat2 Sepihak &amp; Sengaja ditutup2i + Harga Sangat2 Ditutup2i (5) Keharusan PERCEPATAN DAJJAL URGENT 😆segera, yg sangat2 amat Modus Dikarang2 dengan Sangat2 sepihak !!<br><br>(6) Dengan alasan klise dibuat2: URGENT PERCEPATAN 👈🤣 Modus Legend Andalan Dajjal2 Koruptor yg sangat dikarang2 untuk sengaja mem-BYPASS MENERABAS MENJEGAL MENYABOT semua2  kewajiban peraturan TENDER pengadaan 😮!!!<br><br>(7) Spek sengaja dibikin2 yg tidak ada didalam negeri!! <br><br>(8) Sangat2 Sengaja mengabaikan TKDN  Produk Dalam Negeri dan Added Value <br><br>(9) Sangat2 Sengaja mengabaikan kemampuan ketersediaan Manufaktur, Komponen &amp; Jaringan Servis Maintenance.<br><br>(10) Merk &amp; jenis dipilih dengan sangat rahasia diam2 lagi sangat2 sepihak!!! <br><br>(11) Trus Sandiwara Kotor Pura2nya Terkaget2 🤣 tidak tahu mekanisme pengadaan di Indonesia, sangat2 menambah berat dakwaan !!!<br><br>12) Sementara Pejabat2 lain KOMPAKAN Pura2nya Gak Tahu, dan Baru Tahu dari Mass Media 🤣🤣🤣. Konoha Luar Biasa DAJJAL KORUP 🤬🤬🤬🤬🤬!!!<br><br>KPK Sangat2 Wajib Segera Turun Tangan !!!<br><br>LUAR BIASA SANGAT2 JANGGAL ANEH KALAU KPK TIDAK SEGERA TURUN TANGAN 🤬🤬🤬!!!","ngaco balo!! sejuta persen korup kkn: (1) tidak ada tender!! (2) produk motor listrik ber tkdn sdh ada di indonesia!! (3) proses sangat2 sengaja ditutup2i (4) kriteria spek sangat2 sepihak &amp; sengaja ditutup2i + harga sangat2 ditutup2i (5) keharusan percepatan dajjal urgent 😆segera, yang sangat2 amat modus dikarang2 dengan sangat2 sepihak !!<br><br>(6) dengan alasan klise dibuat2: urgent percepatan 👈🤣 modus legend andalan dajjal2 koruptor yang sangat dikarang2 untuk sengaja mem-bypass menerabas menjegal menyabot semua2  kewajiban peraturan tender pengadaan 😮!!!<br><br>(7) spek sengaja dibikin2 yang tidak ada didalam negeri!! <br><br>(8) sangat2 sengaja mengabaikan tkdn  produk dalam negeri dan added value <br><br>(9) sangat2 sengaja mengabaikan kemampuan ketersediaan manufaktur, komponen &amp; jaringan servis maintenance.<br><br>(10) merk &amp; jenis dipilih dengan sangat rahasia diam2 lagi sangat2 sepihak!!! <br><br>(11) trus sandiwara kotor pura2nya terkaget2 🤣 tidak tahu mekanisme pengadaan di indonesia, sangat2 menambah berat dakwaan !!!<br><br>12) sementara pejabat2 lain kompakan pura2nya gak tahu, dan baru tahu dari mass media 🤣🤣🤣. konoha luar biasa dajjal korup 🤬🤬🤬🤬🤬!!!<br><br>kpk sangat2 wajib segera turun tangan !!!<br><br>luar biasa sangat2 janggal aneh kalau kpk tidak segera turun tangan 🤬🤬🤬!!!",ngaco balo sejuta persen korup kkn tidak ada tender produk motor listrik ber tkdn sdh ada di indonesia proses sangat sengaja ditutupi kriteria spek sangat sepihak amp sengaja ditutupi harga sangat ditutupi keharusan percepatan dajjal urgent segera yang sangat amat modus dikarang dengan sangat sepihak dengan alasan klise dibuat urgent percepatan modus legend andalan dajjal koruptor yang sangat dikarang untuk sengaja mem bypass menerabas menjegal menyabot semua kewajiban peraturan tender pengadaan spek sengaja dibikin yang tidak ada didalam negeri sangat sengaja mengabaikan tkdn produk dalam negeri dan added value sangat sengaja mengabaikan kemampuan ketersediaan manufaktur komponen amp jaringan servis maintenance merk amp jenis dipilih dengan sangat rahasia diam lagi sangat sepihak trus sandiwara kotor puranya terkaget tidak tahu mekanisme pengadaan di indonesia sangat menambah berat dakwaan sementara pejabat lain kompakan puranya gak tahu dan baru tahu dari mass media konoha luar biasa dajjal korup kpk sangat wajib segera turun tangan luar biasa sangat janggal aneh kalau kpk tidak segera turun tangan,negative
Brengsek ni<br>Membuang 2 anggaran negara saja<br>Pejabat selalu di manjakan dg membuang 2 duit rakyat<br>Usut  tuntas masalah ini<br>Maksudnya apa <br>Mobil sudah ada  du bgn ?,brengsek ni<br>membuang 2 anggaran negara saja<br>pejabat selalu di manjakan dg membuang 2 duit rakyat<br>usut  tuntas masalah ini<br>maksudnya apa <br>mobil sudah ada  du bgn ?,brengsek nimembuang anggaran negara sajapejabat selalu di manjakan dg membuang duit rakyatusut tuntas masalah inimaksudnya apa mobil sudah ada du bgn,negative
Kasih mobil juga pak tiap2 sppg kayak koperasi merah putih,kasih mobil juga pak tiap2 sppg kayak koperasi merah putih,kasih mobil juga pak tiap sppg kayak koperasi merah putih,neutral
Maling Maling Proyek be like : Cair Cair Cair 😂😂😂😂,maling maling proyek be like : cair cair cair 😂😂😂😂,maling maling proyek be like cair cair cair,negative
Harus melalui metode tender sesuai aturan keppres...jika tidak berarti pelanggaran,harus melalui metode tender sesuai aturan keppres...jika tidak berarti pelanggaran,harus melalui metode tender sesuai aturan keppres jika tidak berarti pelanggaran,neutral
Anggaran thun 2025 motor<br>Anggaran thun 2026 jetski<br>Anggaran thun 2027<br>Mobil<br>Anggaran thun 2028 pesawat<br>Anggaran thun 2029 jet pribadi<br>😇😂🤣😅😆,anggaran thun 2025 motor<br>anggaran thun 2026 jetski<br>anggaran thun 2027<br>mobil<br>anggaran thun 2028 pesawat<br>anggaran thun 2029 jet pribadi<br>😇😂🤣😅😆,anggaran thun motoranggaran thun jetskianggaran thun mobilanggaran thun pesawatanggaran thun jet pribadi,neutral
Program tak ada Undang²nya.  Tapi Sakti... wes wes,program tak ada undang²nya.  tapi sakti... wes wes,program tak ada undangnya tapi sakti wes wes,positive
MBG program langsung presiden....<br>Jadi mana ada yg berani sentuh walaupun jelas2 ga bener &amp; jadi wadah tempat korupsi,mbg program langsung presiden....<br>jadi mana ada yang berani sentuh walaupun jelas2 tidak bener &amp; jadi wadah tempat korupsi,mbg program langsung presiden jadi mana ada yang berani sentuh walaupun jelas tidak bener amp jadi wadah tempat korupsi,negative
Kalo gak selesai 2025 itu namanya wanprestasi dan ada sanksi dendanya,kalo gak selesai 2025 itu namanya wanprestasi dan ada sanksi dendanya,kalo gak selesai itu namanya wanprestasi dan ada sanksi dendanya,negative
"Nah lho, siapa nih yg diuntungkan?","nah lho, siapa nih yang diuntungkan?",nah lho siapa nih yang diuntungkan,negative
Paling kreatif kalau soal duit,paling kreatif kalau soal duit,paling kreatif kalau soal duit,positive
Buat apa jir motor MBG? Kawal mobil MBG nya kah 😂😠,buat apa jir motor mbg? kawal mobil mbg nya kah 😂😠,buat apa jir motor mbg kawal mobil mbg nya kah,negative
ngga dijelasin fungsinya buat apa?,ngga dijelasin fungsinya buat apa?,ngga dijelasin fungsinya buat apa,negative
Orang paling kenal hukum korupsi saat ini adalah kepala BGN si botak,orang paling kenal hukum korupsi saat ini adalah kepala bgn si botak,orang paling kenal hukum korupsi saat ini adalah kepala bgn si botak,negative
Makin Brutal dan semao gua !!!,makin brutal dan semao gua !!!,makin brutal dan semao gua,negative
entah harus komen apa tidak habis pikir,entah harus komen apa tidak habis pikir,entah harus komen apa tidak habis pikir,negative
begitu arogannya,begitu arogannya,begitu arogannya,negative
🤣🤣🤣🤣🤣,🤣🤣🤣🤣🤣,,negative
Periksa kpk dan kejaksaan,periksa kpk dan kejaksaan,periksa kpk dan kejaksaan,neutral
Nilai makanannya ga seberapa.. kebanyakan beli ini itu.. gaji ini itu dan honor ini itu... kasihan banget negara ini...,nilai makanannya tidak seberapa.. kebanyakan beli ini itu.. gaji ini itu dan honor ini itu... kasihan banget negara ini...,nilai makanannya tidak seberapa kebanyakan beli ini itu gaji ini itu dan honor ini itu kasihan banget negara ini,negative
Padahal bisa pake buat industrialisasi buat berbagai macam usaha untuk menyerap tenaga kerja:<br>1. Kebangkitan PT DI lanjutkan N250<br>2. Pabrik Pupuk karena 90%.masih impor. <br>3. Lanjutkan proyek mobil nasional. <br><br>Tapi yang digeber malah dapur untuk kesejahteraan oligarki 😢😢,padahal bisa pake buat industrialisasi buat berbagai macam usaha untuk menyerap tenaga kerja:<br>1. kebangkitan pt di lanjutkan n250<br>2. pabrik pupuk karena 90%.masih impor. <br>3. lanjutkan proyek mobil nasional. <br><br>tapi yang digeber malah dapur untuk kesejahteraan oligarki 😢😢,padahal bisa pake buat industrialisasi buat berbagai macam usaha untuk menyerap tenaga kerja kebangkitan pt di lanjutkan n pabrik pupuk karena masih impor lanjutkan proyek mobil nasional tapi yang digeber malah dapur untuk kesejahteraan oligarki,negative
Daya rusak MBG.... Memang sangat luar biasa !!!,daya rusak mbg.... memang sangat luar biasa !!!,daya rusak mbg memang sangat luar biasa,positive
"LEBIH DARI JUDOL, APBN JEBOL","lebih dari judol, apbn jebol",lebih dari judol apbn jebol,negative
"Prabowo lengser, kepala bgn siap2 masuk pengadilan","prabowo lengser, kepala bgn siap2 masuk pengadilan",prabowo lengser kepala bgn siap masuk pengadilan,neutral
"Urusan gizi aja gak beres, malah borong motor listrik?! Pe&#39;a apa pe&#39;a c?! 🤦","urusan gizi aja gak beres, malah borong motor listrik?! pe&#39;a apa pe&#39;a c?! 🤦",urusan gizi aja gak beres malah borong motor listrik pe a apa pe a c,negative
Ujung2 nya buat celah korupsi...,ujung2 nya buat celah korupsi...,ujung nya buat celah korupsi,negative
Klu utk angkut knp mesti motor SPT itu,klu utk angkut knp mesti motor spt itu,klu utk angkut knp mesti motor spt itu,neutral
"Pembelian motor ini, hrs didukung demi operasional SPPG, lanjutkan. Dan kalau dana masih kurang, bisa meminta dirjen pajak, utk membebani pajak ke masyarakat. Tambah lagi, Buat yg protes2, karena mereka ngk kebagian motor. rampok terus uang negara.","pembelian motor ini, hrs didukung demi operasional sppg, lanjutkan. dan kalau dana masih kurang, bisa meminta dirjen pajak, utk membebani pajak ke masyarakat. tambah lagi, buat yang protes2, karena mereka ngk kebagian motor. rampok terus uang negara.",pembelian motor ini hrs didukung demi operasional sppg lanjutkan dan kalau dana masih kurang bisa meminta dirjen pajak utk membebani pajak ke masyarakat tambah lagi buat yang protes karena mereka ngk kebagian motor rampok terus uang negara,positive
proyeknya pemerintahan sekarang selalu tiba&quot;. ada aja cara memperkaya kelompoknya,proyeknya pemerintahan sekarang selalu tiba&quot;. ada aja cara memperkaya kelompoknya,proyeknya pemerintahan sekarang selalu tiba quot ada aja cara memperkaya kelompoknya,negative
<b>Para kroni kroni sedang panen cuan dari MBG &amp; Kopdes abal abal. Korupsi sistematis yang aan membuat negara bangkrut dilegalkan secara terang terangan</b>,<b>para kroni kroni sedang panen cuan dari mbg &amp; kopdes abal abal. korupsi sistematis yang aan membuat negara bangkrut dilegalkan secara terang terangan</b>,para kroni kroni sedang panen cuan dari mbg amp kopdes abal abal korupsi sistematis yang aan membuat negara bangkrut dilegalkan secara terang terangan,negative
kata korup terlalu halus bro. ini jelas2 perampokan negara scra berjamaah 😂😂,kata korup terlalu halus bro. ini jelas2 perampokan negara scra berjamaah 😂😂,kata korup terlalu halus bro ini jelas perampokan negara scra berjamaah,negative
Program ngaco rawan perkeliruan,program ngaco rawan perkeliruan,program ngaco rawan perkeliruan,negative
"Ini social engineering. Rakyat Konoha dibombardir dengan segala penyewengan ini, hingga akhirnya muak dan jadi bodo amat. 😢Selanjutnya makin bebaslah mereka berbuat karena rakyatny sudah bodo amat.","ini social engineering. rakyat konoha dibombardir dengan segala penyewengan ini, hingga akhirnya muak dan jadi bodo amat. 😢selanjutnya makin bebaslah mereka berbuat karena rakyatny sudah bodo amat.",ini social engineering rakyat konoha dibombardir dengan segala penyewengan ini hingga akhirnya muak dan jadi bodo amat selanjutnya makin bebaslah mereka berbuat karena rakyatny sudah bodo amat,negative
